Day,Time,Progression,Rain,Temp
10/24/2023,12:00:00,1,FALSE,28.03
10/24/2023,13:00:00,2,FALSE,28.07
10/24/2023,14:00:00,3,FALSE,27.52
10/24/2023,15:00:00,4,FALSE,27.25
10/24/2023,16:00:00,5,FALSE,28.07
10/24/2023,17:00:00,6,FALSE,26.44
10/24/2023,18:00:00,7,FALSE,25.9
10/24/2023,19:00:00,8,FALSE,25.62
10/24/2023,20:00:00,9,FALSE,25.9
10/24/2023,21:00:00,10,FALSE,27.25
10/24/2023,22:00:00,11,FALSE,26.71
10/24/2023,23:00:00,12,FALSE,26.98
10/25/2023,0:00:00,13,FALSE,27.25
10/25/2023,1:00:00,14,FALSE,26.98
10/25/2023,2:00:00,15,FALSE,26.71
10/25/2023,3:00:00,16,FALSE,27.52
10/25/2023,4:00:00,17,FALSE,28.07
10/25/2023,5:00:00,18,FALSE,28.34
10/25/2023,6:00:00,19,FALSE,28.07
10/25/2023,7:00:00,20,FALSE,28.34
10/25/2023,8:00:00,21,FALSE,28.07
10/25/2023,9:00:00,22,FALSE,28.34
10/25/2023,10:00:00,23,FALSE,28.07
10/25/2023,11:00:00,24,FALSE,28.34
10/25/2023,12:00:00,25,FALSE,28.07
10/25/2023,13:00:00,26,FALSE,28.34
10/25/2023,14:00:00,27,FALSE,34.31
10/25/2023,15:00:00,28,FALSE,27.25
10/25/2023,16:00:00,29,FALSE,26.98
10/25/2023,17:00:00,30,FALSE,28.07
10/25/2023,18:00:00,31,FALSE,27.8
10/25/2023,19:00:00,32,TRUE,26.44
10/25/2023,20:00:00,33,FALSE,26.17
10/25/2023,21:00:00,34,FALSE,26.71
10/25/2023,22:00:00,35,FALSE,26.17
10/25/2023,23:00:00,36,FALSE,26.71
10/26/2023,0:00:00,37,FALSE,28.88
10/26/2023,1:00:00,38,FALSE,29.15
10/26/2023,2:00:00,39,TRUE,29.42
10/26/2023,3:00:00,40,FALSE,29.15
10/26/2023,4:00:00,41,FALSE,26.98
10/26/2023,5:00:00,42,FALSE,27.8
10/26/2023,6:00:00,43,FALSE,27.25
10/26/2023,7:00:00,44,FALSE,27.52
10/26/2023,8:00:00,45,FALSE,27.25
10/26/2023,9:00:00,46,FALSE,27.52
10/26/2023,10:00:00,47,FALSE,28.07
10/26/2023,11:00:00,48,FALSE,31.59
10/26/2023,12:00:00,49,FALSE,27.52
10/26/2023,13:00:00,50,FALSE,27.52
10/26/2023,14:00:00,51,FALSE,27.8
10/26/2023,15:00:00,52,FALSE,26.98
10/26/2023,16:00:00,53,FALSE,26.71
10/26/2023,17:00:00,54,FALSE,26.71
10/26/2023,18:00:00,55,FALSE,26.71
10/26/2023,19:00:00,56,FALSE,26.71
10/26/2023,20:00:00,57,FALSE,26.98
10/26/2023,21:00:00,58,FALSE,26.71
10/26/2023,22:00:00,59,FALSE,26.44
10/26/2023,23:00:00,60,TRUE,27.25
10/27/2023,0:00:00,61,FALSE,27.52
10/27/2023,1:00:00,62,FALSE,27.52
10/27/2023,2:00:00,63,FALSE,28.07
10/27/2023,3:00:00,64,FALSE,27.25
10/27/2023,4:00:00,65,FALSE,26.98
10/27/2023,5:00:00,66,FALSE,26.71
10/27/2023,6:00:00,67,FALSE,26.71
10/27/2023,7:00:00,68,FALSE,26.71
10/27/2023,8:00:00,69,TRUE,26.71
10/27/2023,9:00:00,70,FALSE,26.71
10/27/2023,10:00:00,71,FALSE,26.44
10/27/2023,11:00:00,72,FALSE,26.98
10/27/2023,12:00:00,73,FALSE,26.98
10/27/2023,13:00:00,74,FALSE,26.98
10/27/2023,14:00:00,75,FALSE,27.52
10/27/2023,15:00:00,76,FALSE,26.98
10/27/2023,16:00:00,77,FALSE,26.98
10/27/2023,17:00:00,78,FALSE,26.71
10/27/2023,18:00:00,79,FALSE,26.44
10/27/2023,19:00:00,80,FALSE,26.17
10/27/2023,20:00:00,81,FALSE,26.17
10/27/2023,21:00:00,82,TRUE,26.44
10/27/2023,22:00:00,83,FALSE,26.71
10/27/2023,23:00:00,84,FALSE,26.71
10/28/2023,0:00:00,85,FALSE,26.71
10/28/2023,1:00:00,86,FALSE,27.52
10/28/2023,2:00:00,87,FALSE,28.07
10/28/2023,3:00:00,88,FALSE,28.34
10/28/2023,4:00:00,89,FALSE,29.15
10/28/2023,5:00:00,90,FALSE,28.07
10/28/2023,6:00:00,91,FALSE,27.8
10/28/2023,7:00:00,92,FALSE,27.8
10/28/2023,8:00:00,93,FALSE,27.8
10/28/2023,9:00:00,94,FALSE,27.52
10/28/2023,10:00:00,95,FALSE,27.52
10/28/2023,11:00:00,96,FALSE,27.8
10/28/2023,12:00:00,97,FALSE,27.8
10/28/2023,13:00:00,98,FALSE,27.8
10/28/2023,14:00:00,99,FALSE,27.8
10/28/2023,15:00:00,100,FALSE,27.25
10/28/2023,16:00:00,101,FALSE,27.52
10/28/2023,17:00:00,102,FALSE,28.07
10/28/2023,18:00:00,103,FALSE,27.25
10/28/2023,19:00:00,104,FALSE,27.52
10/28/2023,20:00:00,105,FALSE,28.07
10/28/2023,21:00:00,106,FALSE,27.25
10/28/2023,22:00:00,107,FALSE,27.52
10/28/2023,23:00:00,108,FALSE,28.07
10/29/2023,0:00:00,109,FALSE,26.71
10/29/2023,1:00:00,110,FALSE,28.34
10/29/2023,2:00:00,111,FALSE,26.98
10/29/2023,3:00:00,112,FALSE,26.44
10/29/2023,4:00:00,113,FALSE,27.8
10/29/2023,5:00:00,114,FALSE,26.71
10/29/2023,6:00:00,115,FALSE,28.07
10/29/2023,7:00:00,116,FALSE,28.07
10/29/2023,8:00:00,117,FALSE,27.52
10/29/2023,9:00:00,118,FALSE,26.17
10/29/2023,10:00:00,119,FALSE,28.34
10/29/2023,11:00:00,120,FALSE,26.98
10/29/2023,12:00:00,121,FALSE,26.44
10/29/2023,13:00:00,122,FALSE,27.8
10/29/2023,14:00:00,123,FALSE,26.71
10/29/2023,15:00:00,124,FALSE,28.07
10/29/2023,16:00:00,125,FALSE,28.07
10/29/2023,17:00:00,126,FALSE,27.52
10/29/2023,18:00:00,127,FALSE,26.17
10/29/2023,19:00:00,128,FALSE,27.25
10/29/2023,20:00:00,129,FALSE,27.52
10/29/2023,21:00:00,130,FALSE,28.07
